                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4423,                 3.5649,                 1.9112,                0.00514,                      1,                0.16563,                0.07461,                 1.1445,                 4.4277,                 2.1907,              1.111e-05,              1.111e-05,              1.111e-05
                      1,                 1.4787,                  3.495,                 1.8807,                0.00513,                      1,                0.16226,                0.07849,                 1.1077,                 4.4068,                 2.1304,              3.267e-05,              3.267e-05,              3.267e-05
                      2,                 1.2202,                 3.2834,                 1.6922,                  0.005,                      1,                0.14875,                   0.08,                 1.0167,                 4.3552,                 2.0691,              5.335e-05,              5.335e-05,              5.335e-05
                      3,                 1.2753,                 3.3649,                 1.8694,                 0.0046,                      1,                0.29236,                0.16881,                    1.1,                 4.1639,                 2.1505,              7.315e-05,              7.315e-05,              7.315e-05
                      4,                 1.1973,                 3.3751,                 1.7743,                0.00434,                      1,                0.18487,                0.12257,                 1.1792,                 4.3017,                 2.2488,             9.2071e-05,             9.2071e-05,             9.2071e-05
                      5,                 1.0988,                 3.3539,                 1.5233,                0.00427,                      1,                0.27689,                0.12633,                 1.4458,                 4.5644,                  2.554,             0.00011011,             0.00011011,             0.00011011
                      6,                0.97795,                 3.1691,                 1.5639,                0.00265,                    0.8,                0.21692,                0.12663,                 1.6163,                 4.4687,                 2.8573,             0.00012727,             0.00012727,             0.00012727
                      7,                 0.9061,                 3.1175,                 1.4387,                0.00283,                    0.8,                0.25792,                0.11562,                  1.734,                 4.6471,                 3.0799,             0.00014355,             0.00014355,             0.00014355
                      8,                 1.0157,                 3.0457,                 1.5981,                0.00284,                    0.8,                 0.2578,                0.10487,                 1.8505,                  4.626,                 3.1817,             0.00015895,             0.00015895,             0.00015895
                      9,                0.89293,                 2.8579,                 1.4742,                0.00288,                    0.8,                0.26542,                 0.1461,                 1.9411,                 4.5804,                  3.404,             0.00017347,             0.00017347,             0.00017347
                     10,                0.97464,                 2.9923,                 1.5361,                0.00307,                    0.8,                0.26652,                0.14644,                 1.8887,                 4.5293,                 3.3725,             0.00018711,             0.00018711,             0.00018711
                     11,                0.94653,                 3.1061,                 1.5793,                0.00326,                    0.8,                0.28144,                0.13393,                  1.901,                 4.4672,                 3.3485,             0.00019988,             0.00019988,             0.00019988
                     12,                0.99312,                 2.8826,                 1.5397,                0.00336,                    0.8,                0.29669,                0.14425,                 1.9526,                 4.4603,                 3.4162,             0.00021176,             0.00021176,             0.00021176
                     13,                0.93623,                  2.731,                 1.5695,                0.00475,                      1,                0.33841,                0.15635,                 1.9033,                 4.4962,                 3.3497,             0.00022276,             0.00022276,             0.00022276
                     14,                 1.0866,                 2.8158,                 1.5796,                0.00483,                      1,                0.38497,                0.18137,                 1.9174,                 4.4468,                 3.3496,             0.00023288,             0.00023288,             0.00023288
                     15,                  0.858,                 2.5063,                 1.3826,                0.00476,                      1,                0.27588,                0.10976,                 1.9495,                 4.4817,                 3.3735,             0.00024212,             0.00024212,             0.00024212
                     16,                 0.9521,                 2.6866,                 1.4914,                0.00434,                      1,                0.25254,                0.08792,                 1.8748,                 4.4226,                 3.1585,             0.00025048,             0.00025048,             0.00025048
                     17,                 1.0003,                 2.3498,                 1.4251,                0.00413,                      1,                0.25713,                0.11855,                 1.7327,                  4.404,                 2.9268,             0.00025796,             0.00025796,             0.00025796
                     18,                0.88015,                 2.4604,                 1.4444,                0.00403,                      1,                0.25517,                0.10441,                 1.6956,                 4.4453,                 2.7764,             0.00026456,             0.00026456,             0.00026456
                     19,                0.96249,                 2.4831,                 1.5554,                0.00406,                      1,                0.26124,                0.11188,                 1.5724,                 4.5911,                 2.6129,             0.00027029,             0.00027029,             0.00027029
                     20,                 1.0249,                 2.4715,                 1.5463,                0.00401,                      1,                0.24401,                 0.0976,                 1.5541,                 4.4309,                 2.6554,             0.00027513,             0.00027513,             0.00027513
                     21,                0.73628,                 2.2074,                 1.2881,                0.00386,                      1,                0.29376,                0.12247,                 1.5213,                 4.4303,                 2.5847,             0.00027909,             0.00027909,             0.00027909
                     22,                 1.1731,                 2.4227,                 1.7149,                0.00388,                      1,                0.40906,                0.19414,                 1.5474,                 4.3153,                 2.8098,             0.00028217,             0.00028217,             0.00028217
                     23,                0.93116,                 2.0804,                 1.4882,                0.00404,                      1,                0.35023,                0.20005,                 1.7772,                 4.1864,                 3.0738,             0.00028437,             0.00028437,             0.00028437
                     24,                0.93651,                 2.2652,                 1.5654,                0.25731,                    0.2,                0.35983,                0.19612,                 1.7278,                 4.2736,                 3.0076,              0.0002857,              0.0002857,              0.0002857
                     25,                0.93169,                 2.1836,                 1.4391,                 0.8823,                0.16461,                0.44301,                0.21844,                 1.5596,                 4.1722,                 2.7281,             0.00028614,             0.00028614,             0.00028614
                     26,                0.81677,                 2.2029,                 1.2925,                0.89289,                0.18578,                0.43599,                0.21698,                  1.553,                 4.0805,                 2.7163,              0.0002857,              0.0002857,              0.0002857
                     27,                0.89971,                   2.42,                 1.4824,                0.89289,                0.18578,                0.43599,                0.21698,                  1.553,                 4.0805,                 2.7163,             0.00028438,             0.00028438,             0.00028438
                     28,                 0.7955,                 2.1167,                 1.3194,                0.69339,                0.18678,                0.36507,                0.21182,                 1.5289,                 4.0394,                 2.7649,             0.00028219,             0.00028219,             0.00028219
                     29,                 1.0092,                 2.0808,                 1.5495,                0.67312,                    0.2,                 0.2627,                0.16791,                 1.4902,                 3.9723,                 2.7603,             0.00027911,             0.00027911,             0.00027911
                     30,                 0.9845,                 1.9096,                 1.6243,                0.67312,                    0.2,                 0.2627,                0.16791,                 1.4902,                 3.9723,                 2.7603,             0.00027515,             0.00027515,             0.00027515
                     31,                0.90422,                 2.0322,                 1.4282,                0.25048,                    0.2,                0.21676,                0.13149,                 1.7358,                 4.0609,                 2.9963,             0.00027031,             0.00027031,             0.00027031
                     32,                 1.0177,                 2.1858,                 1.4696,                0.22819,                    0.4,                0.17499,                0.10619,                 1.9028,                 4.0405,                 3.2034,              0.0002646,              0.0002646,              0.0002646
                     33,                0.82562,                 1.8583,                 1.3384,                0.22819,                    0.4,                0.17499,                0.10619,                 1.9028,                 4.0405,                 3.2034,               0.000258,               0.000258,               0.000258
                     34,                0.97701,                 1.8887,                  1.387,                0.02271,                      1,                0.17429,                0.09636,                 1.7873,                 4.0024,                 3.0207,             0.00025052,             0.00025052,             0.00025052
                     35,                 0.7979,                 1.9275,                 1.3693,                0.03258,                    0.8,                0.30987,                0.11459,                 1.7828,                 3.9584,                 2.9937,             0.00024216,             0.00024216,             0.00024216
                     36,                0.87986,                 1.7567,                 1.4341,                0.03258,                    0.8,                0.30987,                0.11459,                 1.7828,                 3.9584,                 2.9937,             0.00023293,             0.00023293,             0.00023293
                     37,                0.97711,                 1.9934,                 1.3694,                0.93156,                    0.2,                0.32693,                0.13352,                 1.6852,                 3.8187,                 2.8336,             0.00022281,             0.00022281,             0.00022281
                     38,                0.80238,                 1.7521,                 1.3374,                0.97086,                    0.2,                0.36732,                0.16227,                 1.5664,                 3.9737,                 2.7106,             0.00021181,             0.00021181,             0.00021181
                     39,                0.84383,                 1.6528,                 1.3621,                0.97086,                    0.2,                0.36732,                0.16227,                 1.5664,                 3.9737,                 2.7106,             0.00019994,             0.00019994,             0.00019994
                     40,                0.95071,                 2.6738,                 1.5371,                0.98163,                    0.2,                0.39634,                0.18081,                 1.6481,                 3.8358,                 2.7291,             0.00018718,             0.00018718,             0.00018718
                     41,                 1.4759,                 3.2402,                 2.4131,                0.97992,                    0.2,                0.45438,                0.18928,                  1.678,                 3.6082,                 2.7515,             0.00017354,             0.00017354,             0.00017354
                     42,                0.81584,                 2.3729,                 1.6291,                0.97992,                    0.2,                0.45438,                0.18928,                  1.678,                 3.6082,                 2.7515,             0.00015903,             0.00015903,             0.00015903
                     43,                0.79799,                  2.401,                 1.4365,                0.73676,                0.36121,                0.54725,                0.24375,                 1.6022,                 3.4834,                 2.7277,             0.00014363,             0.00014363,             0.00014363
                     44,                0.70877,                 2.5374,                 1.4126,                0.73676,                0.36121,                0.54725,                0.24375,                 1.6022,                 3.4834,                 2.7277,             0.00012736,             0.00012736,             0.00012736
                     45,                0.88373,                 2.4638,                 1.4679,                 0.5831,                0.45702,                0.66333,                0.28503,                 1.6116,                 3.4389,                 2.7662,              0.0001102,              0.0001102,              0.0001102
                     46,                0.70079,                 2.1056,                 1.4101,                 0.5831,                0.45702,                0.66333,                0.28503,                 1.6116,                 3.4389,                 2.7662,             9.2164e-05,             9.2164e-05,             9.2164e-05
                     47,                0.71824,                 2.2755,                 1.4126,                0.63467,                0.78139,                0.66333,                0.34868,                 1.6816,                 3.4902,                 2.8113,             7.3248e-05,             7.3248e-05,             7.3248e-05
                     48,                0.74302,                 2.2727,                 1.3323,                0.63467,                0.78139,                0.66333,                0.34868,                 1.6816,                 3.4902,                 2.8113,             5.3452e-05,             5.3452e-05,             5.3452e-05
                     49,                0.55107,                 1.9593,                 1.2882,                0.56661,                0.79192,                0.66333,                0.32478,                 1.7121,                 3.4448,                 2.9534,             3.2777e-05,             3.2777e-05,             3.2777e-05
